domain,fault_type,controller,seed,tsvr,intervention_rate,oasg
aerospace,blackout,nominal,3004,0.0,0.729167,1.0
aerospace,blackout,dc3s,3000,0.0,0.8125,0.916667
aerospace,blackout,dc3s,3001,0.0,0.645833,0.916667
aerospace,blackout,dc3s,3002,0.0,0.770833,0.917966
aerospace,blackout,dc3s,3003,0.0,0.5625,0.917966
aerospace,blackout,dc3s,3004,0.0,0.729167,0.916667
vehicle,blackout,nominal,3000,0.416667,0.8125,1.0
vehicle,blackout,nominal,3001,0.416667,0.645833,1.0
vehicle,blackout,nominal,3002,0.416667,0.770833,1.0
vehicle,blackout,nominal,3003,0.416667,0.5625,1.0
vehicle,blackout,nominal,3004,0.416667,0.729167,1.0
vehicle,blackout,dc3s,3000,0.1875,0.8125,1.0
vehicle,blackout,dc3s,3001,0.479167,0.645833,1.0
vehicle,blackout,dc3s,3002,0.104167,0.770833,1.0
vehicle,blackout,dc3s,3003,0.0,0.5625,1.0
vehicle,blackout,dc3s,3004,0.479167,0.729167,1.0
battery,multi,nominal,3000,0.875,0.5,1.0
battery,multi,nominal,3001,0.875,0.4375,1.0
battery,multi,nominal,3002,0.875,0.3125,1.0
battery,multi,nominal,3003,0.875,0.104167,1.0
battery,multi,nominal,3004,0.875,0.25,1.0
battery,multi,dc3s,3000,0.9375,0.5,1.0
battery,multi,dc3s,3001,0.9375,0.4375,1.0
battery,multi,dc3s,3002,0.9375,0.3125,1.0
battery,multi,dc3s,3003,0.9375,0.104167,1.0
battery,multi,dc3s,3004,0.9375,0.25,1.0
navigation,multi,nominal,3000,0.0,0.5,1.0
navigation,multi,nominal,3001,0.0,0.4375,1.0
navigation,multi,nominal,3002,0.0,0.3125,1.0
navigation,multi,nominal,3003,0.0,0.104167,1.0
navigation,multi,nominal,3004,0.0,0.25,1.0
navigation,multi,dc3s,3000,0.0,0.5,1.0
navigation,multi,dc3s,3001,0.0,0.4375,0.0
navigation,multi,dc3s,3002,0.0,0.3125,1.0
navigation,multi,dc3s,3003,0.0,0.104167,0.2361
navigation,multi,dc3s,3004,0.0,0.25,1.0
industrial,multi,nominal,3000,0.0,0.5,1.0
industrial,multi,nominal,3001,0.0,0.4375,1.0
industrial,multi,nominal,3002,0.0,0.3125,1.0
industrial,multi,nominal,3003,0.0,0.104167,1.0
industrial,multi,nominal,3004,0.0,0.25,1.0
industrial,multi,dc3s,3000,0.0,0.5,1.0
industrial,multi,dc3s,3001,0.0,0.4375,1.0
industrial,multi,dc3s,3002,0.0,0.3125,1.0
industrial,multi,dc3s,3003,0.0,0.104167,1.0
industrial,multi,dc3s,3004,0.0,0.25,1.0
healthcare,multi,nominal,3000,1.0,0.5,1.0
healthcare,multi,nominal,3001,1.0,0.4375,1.0
healthcare,multi,nominal,3002,1.0,0.3125,1.0
healthcare,multi,nominal,3003,1.0,0.104167,1.0
healthcare,multi,nominal,3004,1.0,0.25,1.0
healthcare,multi,dc3s,3000,0.270833,0.5,1.0
healthcare,multi,dc3s,3001,0.270833,0.4375,1.0
healthcare,multi,dc3s,3002,0.291667,0.3125,1.0
healthcare,multi,dc3s,3003,0.270833,0.104167,1.0
healthcare,multi,dc3s,3004,0.270833,0.25,1.0
aerospace,multi,nominal,3000,0.0,0.5,1.0
aerospace,multi,nominal,3001,0.0,0.4375,1.0
aerospace,multi,nominal,3002,0.0,0.3125,1.0
aerospace,multi,nominal,3003,0.0,0.104167,1.0
aerospace,multi,nominal,3004,0.0,0.25,1.0
aerospace,multi,dc3s,3000,0.0,0.5,0.922518
aerospace,multi,dc3s,3001,0.0,0.4375,0.926659
aerospace,multi,dc3s,3002,0.0,0.3125,0.916667
aerospace,multi,dc3s,3003,0.0,0.104167,0.916667
aerospace,multi,dc3s,3004,0.0,0.25,0.916667
vehicle,multi,nominal,3000,0.416667,0.5,1.0
vehicle,multi,nominal,3001,0.416667,0.4375,1.0
vehicle,multi,nominal,3002,0.416667,0.3125,1.0
vehicle,multi,nominal,3003,0.416667,0.104167,1.0
vehicle,multi,nominal,3004,0.416667,0.25,1.0
vehicle,multi,dc3s,3000,0.0,0.5,1.0
vehicle,multi,dc3s,3001,0.083333,0.4375,1.0
vehicle,multi,dc3s,3002,0.479167,0.3125,1.0
vehicle,multi,dc3s,3003,0.104167,0.104167,1.0
vehicle,multi,dc3s,3004,0.0,0.25,1.0
