transfer_case,sweep_type,sweep_value,scenario,seed,controller,picp_90,mean_width,true_soc_violation_rate,true_soc_violation_severity_p95_mwh,cost_delta_pct
DE_to_US_no_retrain,delay,0,delay_jitter,22,dc3s_ftit,1.000000,305.906932,0.000000,0.000000,-0.013113
DE_to_US_no_retrain,delay,0,delay_jitter,22,aci_conformal,1.000000,99.905000,0.000000,0.000000,0.025936
DE_to_US_no_retrain,delay,0,delay_jitter,22,scenario_robust,1.000000,0.000000,0.000000,0.000000,-0.013116
DE_to_US_no_retrain,delay,0,delay_jitter,22,scenario_mpc,1.000000,9434.062240,0.000000,0.000000,-0.013116
DE_to_US_no_retrain,delay,0,delay_jitter,33,deterministic_lp,1.000000,502.889113,0.062500,220.721556,0.000000
DE_to_US_no_retrain,delay,0,delay_jitter,33,robust_fixed_interval,1.000000,502.889113,0.260417,0.036475,-0.016499
DE_to_US_no_retrain,delay,0,delay_jitter,33,cvar_interval,1.000000,502.889113,0.260417,0.036475,-0.016499
DE_to_US_no_retrain,delay,0,delay_jitter,33,dc3s_wrapped,1.000000,525.056035,0.000000,0.000000,-0.016497
DE_to_US_no_retrain,delay,0,delay_jitter,33,dc3s_ftit,1.000000,305.906932,0.000000,0.000000,-0.016497
DE_to_US_no_retrain,delay,0,delay_jitter,33,aci_conformal,1.000000,99.905000,0.000000,0.000000,0.019866
DE_to_US_no_retrain,delay,0,delay_jitter,33,scenario_robust,1.000000,0.000000,0.000000,0.000000,-0.016498
DE_to_US_no_retrain,delay,0,delay_jitter,33,scenario_mpc,1.000000,9429.776812,0.000000,0.000000,-0.016498
DE_to_US_no_retrain,delay,high,delay_jitter,11,deterministic_lp,1.000000,502.889113,0.072917,223.846985,0.000000
DE_to_US_no_retrain,delay,high,delay_jitter,11,robust_fixed_interval,1.000000,502.889113,0.000000,0.000000,-0.002201
DE_to_US_no_retrain,delay,high,delay_jitter,11,cvar_interval,1.000000,502.889113,0.000000,0.000000,-0.002201
