run_id,timestamp_utc,row_type,window_idx,window_start,window_end,horizon,evpi,evpi_robust,evpi_deterministic,vss,robust_actual_realized_cost,robust_perfect_info_cost,deterministic_actual_realized_cost,deterministic_perfect_info_cost,robust_total_cost,robust_feasible,solver_status,mean_dynamic_interval_width,mean_base_interval_width,faci_scale_bound_lower,faci_scale_bound_upper,unmet_load_penalty_per_mwh
20260216_092252,2026-02-16T09:22:54.092943,window,60.0,1464.0,1488.0,24.0,0.0,0.0,0.0,-22480.19999999553,38642558.62,38642558.62,38620078.42,38620078.42,40359977.487572566,True,ok:optimal,4096.033133398964,611.1344750467397,,,10000.0
20260216_092252,2026-02-16T09:22:54.092943,window,61.0,1488.0,1512.0,24.0,0.0,0.0,0.0,-15978.60000000149,24457960.96,24457960.96,24441982.36,24441982.36,32268681.203228593,True,ok:optimal,3993.5751456389225,611.1344750467384,,,10000.0
20260216_092252,2026-02-16T09:22:54.092943,window,62.0,1512.0,1536.0,24.0,0.0,0.0,1984.7141690962017,-22984.100791335102,24359997.33,24359997.33,24337013.229208663,24335028.515039567,26268234.051863007,True,ok:optimal,2762.983179118228,611.1344750467384,,,10000.0
20260216_092252,2026-02-16T09:22:54.092943,window,63.0,1536.0,1560.0,24.0,0.0,0.0,0.0,-46322.54427321255,46634452.879999995,46634452.879999995,46588130.33572678,46588130.33572678,33892966.7998209,True,ok:optimal,3874.611571970829,611.1344750467384,,,10000.0
20260216_092252,2026-02-16T09:22:54.092943,window,64.0,1560.0,1584.0,24.0,0.0,0.0,0.0,-24656.39999999851,44783637.3,44783637.3,44758980.900000006,44758980.900000006,46008166.14234218,True,ok:optimal,1109.931172938034,611.1344750467384,,,10000.0
20260216_092252,2026-02-16T09:22:54.092943,window,65.0,1584.0,1608.0,24.0,0.0,0.0,-308.2199999988079,-20066.39999999851,35074154.629999995,35074154.629999995,35054088.23,35054396.449999996,39126833.92249997,True,ok:optimal,618.2717420849931,611.1344750467384,,,10000.0
20260216_092252,2026-02-16T09:22:54.092943,window,66.0,1608.0,1632.0,24.0,0.0,0.0,0.0,-25115.39999999851,34241163.8,34241163.8,34216048.4,34216048.4,37391089.227952495,True,ok:optimal,1986.1122190290469,611.1344750467384,,,10000.0
20260216_092252,2026-02-16T09:22:54.092943,window,67.0,1632.0,1656.0,24.0,0.0,0.0,-44.968284741044044,-15938.728284738958,23392291.15,23392291.15,23376352.42171526,23376397.39,28439283.835389152,True,ok:optimal,2888.2350702379754,611.1344750467393,,,10000.0
20260216_092252,2026-02-16T09:22:54.092943,window,68.0,1656.0,1680.0,24.0,0.0,0.0,0.0,-21470.479988837615,10755529.04,10755529.04,10734058.560011163,10734058.560011163,17705782.351341385,True,ok:optimal,4096.0331333989625,611.1344750467391,,,10000.0
20260216_092252,2026-02-16T09:22:54.092943,window,69.0,1680.0,1704.0,24.0,0.0,0.0,-39.0,-27080.635847382247,18993200.182173915,18993200.182173915,18966119.546326533,18966158.546326533,13093753.364386944,True,ok:optimal,2701.968270666355,611.1344750467384,,,10000.0
20260216_092252,2026-02-16T09:22:54.092943,window,70.0,1704.0,1728.0,24.0,0.0,0.0,0.0,-33980.47796751559,45343646.47,45343646.47,45309665.99203248,45309665.99203248,28303188.48414287,True,ok:optimal,3958.2244825170737,611.1344750467384,,,10000.0
20260216_092252,2026-02-16T09:22:54.092943,window,71.0,1728.0,1752.0,24.0,0.0,0.0,0.0,-53422.9983673431,19499318.29,19499318.29,19445895.291632656,19445895.291632656,28798280.23095238,True,ok:optimal,2118.222676274732,611.1344750467384,,,10000.0
20260216_092252,2026-02-16T09:22:54.092943,window,72.0,1752.0,1776.0,24.0,0.0,0.0,0.0,-27754.828019322827,12852761.749130432,12852761.749130432,12825006.92111111,12825006.92111111,13507419.78486359,True,ok:optimal,2887.6993248281965,611.1344750467384,,,10000.0
20260216_092252,2026-02-16T09:22:54.092943,window,73.0,1776.0,1800.0,24.0,0.0,0.0,1.0453164577484133e-05,-74534.86527252197,45263634.28875236,45263634.28875236,45189099.42347984,45189099.42346939,23275583.771017864,True,ok:optimal,3926.802105169992,611.1344750467397,,,10000.0
20260216_092252,2026-02-16T09:22:54.092943,window,74.0,1800.0,1824.0,24.0,0.0,0.0,0.0,-21789.0,31765107.28,31765107.28,31743318.28,31743318.28,35950329.21340316,True,ok:optimal,3384.7849511747686,611.1344750467393,,,10000.0
20260216_092252,2026-02-16T09:22:54.092943,window,75.0,1824.0,1848.0,24.0,0.0,0.0,0.0,-19650.60000000149,28144989.69,28144989.69,28125339.09,28125339.09,31092205.952366352,True,ok:optimal,4096.0331333989625,611.1344750467384,,,10000.0
20260216_092252,2026-02-16T09:22:54.092943,window,76.0,1848.0,1872.0,24.0,0.0,0.0,0.0,-54847.5976235494,31800502.42190926,31800502.42190926,31745654.824285712,31745654.824285712,31306036.25257869,True,ok:optimal,3198.616541979483,611.1344750467384,,,10000.0
20260216_092252,2026-02-16T09:22:54.092943,window,77.0,1872.0,1896.0,24.0,0.0,0.0,0.0,-82069.71947070211,62430976.539470695,62430976.539470695,62348906.81999999,62348906.81999999,47102241.36870839,True,ok:optimal,3582.272016364575,611.1344750467384,,,10000.0
20260216_092252,2026-02-16T09:22:54.092943,window,78.0,1896.0,1920.0,24.0,0.0,0.0,0.0,-109750.1187145561,56676528.588714555,56676528.588714555,56566778.47,56566778.47,57722159.16423997,True,ok:optimal,1366.3410056746452,611.1344750467384,,,10000.0
20260216_092252,2026-02-16T09:22:54.092943,window,79.0,1920.0,1944.0,24.0,0.0,0.0,0.0,-39300.96501456946,51085114.129999995,51085114.129999995,51045813.164985426,51045813.164985426,54941345.50646651,True,ok:optimal,714.6862129448588,611.1344750467391,,,10000.0
20260216_092252,2026-02-16T09:22:54.092943,window,80.0,1944.0,1968.0,24.0,0.0,0.0,-195.10812578350303,-28944.66000000015,28882892.61,28882892.61,28853947.95,28854143.058125783,39540903.790846385,True,ok:optimal,1994.5629454076927,611.1344750467388,,,10000.0
20260216_092252,2026-02-16T09:22:54.092943,window,81.0,1968.0,1992.0,24.0,0.0,0.0,0.0,-22372.199999999255,31456156.62,31456156.62,31433784.42,31433784.42,30547481.660107244,True,ok:optimal,4064.61075605188,611.1344750467391,,,10000.0
20260216_092252,2026-02-16T09:22:54.092943,window,82.0,1992.0,2016.0,24.0,0.0,0.0,0.0,-36718.800000000745,21166587.39,21166587.39,21129868.59,21129868.59,28699455.42360359,True,ok:optimal,4064.610756051879,611.1344750467384,,,10000.0
20260216_092252,2026-02-16T09:22:54.092943,window,83.0,2016.0,2040.0,24.0,0.0,0.0,0.0,-50221.58520118147,34233072.56234404,34233072.56234404,34182850.977142856,34182850.977142856,26849359.34990139,True,ok:optimal,2918.9973047720964,611.1344750467384,,,10000.0
20260216_092252,2026-02-16T09:22:54.092943,window,84.0,2040.0,2064.0,24.0,0.0,0.0,0.0,-26476.20000000298,34502692.11,34502692.11,34476215.91,34476215.91,34427291.99518977,True,ok:optimal,3874.611571970829,611.1344750467384,,,10000.0
20260216_092252,2026-02-16T09:22:54.092943,window,85.0,2064.0,2088.0,24.0,0.0,0.0,0.0,-54835.82654991001,35357079.6310397,35357079.6310397,35302243.80448979,35302243.80448979,35519954.38831319,True,ok:optimal,1570.3175026175825,611.1344750467384,,,10000.0
20260216_092252,2026-02-16T09:22:54.092943,window,86.0,2088.0,2112.0,24.0,0.0,0.0,0.0,-35856.53877550736,31377906.839999996,31377906.839999996,31342050.30122449,31342050.30122449,32858726.21073331,True,ok:optimal,980.5923743349988,611.13447504674,,,10000.0
20260216_092252,2026-02-16T09:22:54.092943,window,87.0,2112.0,2136.0,24.0,0.0,0.0,-1594.9178716018796,-98823.90725203604,55933502.26572778,55933502.26572778,55834678.358475745,55836273.27634735,44101465.871719345,True,ok:optimal,2029.220091489239,611.13447504674,,,10000.0
20260216_092252,2026-02-16T09:22:54.092943,window,88.0,2136.0,2160.0,24.0,0.0,0.0,0.0,-35393.35473011434,36529522.125463136,36529522.125463136,36494128.77073302,36494128.77073302,48069850.97562619,True,ok:optimal,3915.692182478087,611.1344750467388,,,10000.0
20260216_092252,2026-02-16T09:22:54.092943,window,89.0,2160.0,2184.0,24.0,0.0,0.0,0.0,-56577.843265306205,17910082.07,17910082.07,17853504.226734694,17853504.226734694,26857224.16558794,True,ok:optimal,4096.0331333989625,611.1344750467384,,,10000.0
20260216_092252,2026-02-16T09:22:54.092943,window,90.0,2184.0,2208.0,24.0,0.0,0.0,-1218.079999998212,-38706.23584738374,27104569.88217392,27104569.88217392,27065863.646326534,27067081.726326533,20594804.79076116,True,ok:optimal,2669.595813089352,611.1344750467384,,,10000.0
20260216_092252,2026-02-16T09:22:54.092943,window,91.0,2208.0,2232.0,24.0,0.0,0.0,0.0,-172978.34511338174,60980728.17226843,60980728.17226843,60807749.827155046,60807749.827155046,44408871.75229197,True,ok:optimal,4023.392824020437,611.1344750467384,,,10000.0
20260216_092252,2026-02-16T09:22:54.092943,window,92.0,2232.0,2256.0,24.0,0.0,0.0,0.0,-182466.34142045677,80051669.46856332,80051669.46856332,79869203.12714286,79869203.12714286,77747740.62186825,True,ok:optimal,972.1368570737412,611.1344750467384,,,10000.0
20260216_092252,2026-02-16T09:22:54.092943,window,93.0,2256.0,2280.0,24.0,0.0,0.0,0.0,-49065.04389837384,41072685.34,41072685.34,41023620.29610163,41023620.29610163,52670942.08594334,True,ok:optimal,2217.436050305734,611.1344750467388,,,10000.0
20260216_092252,2026-02-16T09:22:54.092943,window,94.0,2280.0,2304.0,24.0,0.0,0.0,0.0,-78809.00904622674,42390648.95,42390648.95,42311839.94095377,42311839.94095377,41080553.11176476,True,ok:optimal,1949.7299712131728,611.1344750467391,,,10000.0
20260216_092252,2026-02-16T09:22:54.092943,window,95.0,2304.0,2328.0,24.0,0.0,0.0,0.0,-23263.199999999255,30425795.73,30425795.73,30402532.53,30402532.53,36640188.41522567,True,ok:optimal,3599.9917655132863,611.1344750467388,,,10000.0
20260216_092252,2026-02-16T09:22:54.092943,window,96.0,2328.0,2352.0,24.0,0.0,0.0,0.0,-22150.800000000745,25255854.96,25255854.96,25233704.16,25233704.16,30840745.095795844,True,ok:optimal,4064.610756051879,611.1344750467384,,,10000.0
20260216_092252,2026-02-16T09:22:54.092943,window,97.0,2352.0,2376.0,24.0,0.0,0.0,0.0,-56108.65834651142,37433781.23487712,37433781.23487712,37377672.57653061,37377672.57653061,31409582.877560344,True,ok:optimal,2826.555950993265,611.1344750467384,,,10000.0
